sample_id,name,china_hurricane_code,date,category,latitude,longitude,lowest_pressure,wind_speed
0,Carmen,1,1949-01-15T00:00:00.000000,1,9.6,134.8,1005,15
0,Carmen,1,1949-01-15T06:00:00.000000,2,10.8,134.5,1002,20
0,Carmen,1,1949-01-15T12:00:00.000000,3,11.6,134.5,1000,25
0,Carmen,1,1949-01-15T18:00:00.000000,3,12.2,134.6,998,30
0,Carmen,1,1949-01-16T00:00:00.000000,3,12.7,134.7,998,30
0,Carmen,1,1949-01-16T06:00:00.000000,4,13.1,135.1,996,35
0,Carmen,1,1949-01-16T12:00:00.000000,4,13.2,135.3,996,35
0,Carmen,1,1949-01-16T18:00:00.000000,4,13.2,135.6,996,35
0,Carmen,1,1949-01-17T00:00:00.000000,4,13.1,135.9,993,35
0,Carmen,1,1949-01-17T06:00:00.000000,4,12.8,136.1,993,35
0,Carmen,1,1949-01-17T12:00:00.000000,4,12.6,135.9,993,35
0,Carmen,1,1949-01-17T18:00:00.000000,5,12.4,135.6,990,45
0,Carmen,1,1949-01-18T00:00:00.000000,5,12.3,135.2,990,45
0,Carmen,1,1949-01-18T06:00:00.000000,5,12.4,134.5,990,45
0,Carmen,1,1949-01-18T12:00:00.000000,5,12.4,133.8,990,45
0,Carmen,1,1949-01-18T18:00:00.000000,4,12.3,132.8,995,35
0,Carmen,1,1949-01-19T00:00:00.000000,3,12.2,131.8,995,30
0,Carmen,1,1949-01-19T06:00:00.000000,3,12.1,130.9,995,30
0,Carmen,1,1949-01-19T12:00:00.000000,2,11.9,129.9,1000,20
0,Carmen,1,1949-01-19T18:00:00.000000,2,11.7,129.1,1000,20
0,Carmen,1,1949-01-20T00:00:00.000000,1,11.6,128.2,1002,15
0,Carmen,1,1949-01-20T06:00:00.000000,1,11.4,127.4,1004,15
1,Della,2,1949-06-16T06:00:00.000000,1,11.5,130.9,1004,15
1,Della,2,1949-06-16T12:00:00.000000,1,12.3,130.2,1004,15
1,Della,2,1949-06-16T18:00:00.000000,1,13.4,129.3,1004,15
1,Della,2,1949-06-17T00:00:00.000000,2,14.3,128.6,1002,20
1,Della,2,1949-06-17T06:00:00.000000,2,15.2,127.8,1000,20
1,Della,2,1949-06-17T12:00:00.000000,2,15.9,127.1,998,20
1,Della,2,1949-06-17T18:00:00.000000,3,16.6,126.4,996,25
1,Della,2,1949-06-18T00:00:00.000000,3,17.2,125.8,992,30
1,Della,2,1949-06-18T06:00:00.000000,4,17.8,125.2,988,35
1,Della,2,1949-06-18T12:00:00.000000,4,18.3,124.8,984,40
1,Della,2,1949-06-18T18:00:00.000000,5,18.8,124.3,980,45
1,Della,2,1949-06-19T00:00:00.000000,5,19.4,123.9,980,45
1,Della,2,1949-06-19T06:00:00.000000,5,20.7,124.9,978,50
1,Della,2,1949-06-19T12:00:00.000000,5,22.2,125.8,978,50
1,Della,2,1949-06-19T18:00:00.000000,5,23.3,125.8,974,50
1,Della,2,1949-06-20T00:00:00.000000,5,24.8,126.1,974,50
1,Della,2,1949-06-20T06:00:00.000000,6,27.1,128.2,960,60
1,Della,2,1949-06-20T12:00:00.000000,6,30.3,130.2,960,60
1,Della,2,1949-06-20T18:00:00.000000,5,33.3,131.0,974,45
1,Della,2,1949-06-21T00:00:00.000000,4,35.0,130.7,980,40
